ideal_arrangement,year
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
"one_works_full_time,other_part_time",1991
